year,seas,catch
1989,1,1317.94
1989,2,2588.65
1989,3,1336.25
1989,4,111.41
1990,1,2300.36
1990,2,1571.01
1990,3,1182.22
1990,4,765.474
1991,1,1049.15
1991,2,3692.7
1991,3,701.617
1991,4,273.876
1992,1,1125.13
1992,2,1368.15
1992,3,499.605
1992,4,3.82
1993,1,766.822
1993,2,921.209
1993,3,166.867
1993,4,105.053
1994,1,689.675
1994,2,2055.27
1994,3,210.042
1994,4,80.47
1995,1,185.366
1995,2,79.8917
1995,3,147.933
1995,4,157.423
1996,1,41.043
1996,2,807.195
1996,3,585.565
1996,4,397.607
1997,1,907.84
1997,2,1110.05
1997,3,2006.93
1997,4,588.393
1998,1,1781.42
1998,2,2175.55
1998,3,2909.42
1998,4,2715.91
1999,1,1638.33
1999,2,1994.93
1999,3,1615.91
1999,4,691.379
2000,1,412.156
2000,2,667.864
2000,3,673.186
2000,4,600.236
2001,1,1045.57
2001,2,3226.82
2001,3,3275.36
2001,4,1088.91
2002,1,1771.9
2002,2,2957.37
2002,3,2698.98
2002,4,816.013
2003,1,1027.35
2003,2,2538.97
2003,3,965.346
2003,4,416.144
2004,1,1384.23
2004,2,1976.42
2004,3,1521.88
2004,4,698.658
2005,1,1398.1
2005,2,2252.44
2005,3,705.5
2005,4,84.7802
2006,1,1296.9
2006,2,2657.27
2006,3,415.799
2006,4,19.1224
2007,1,1581.1
2007,2,2251.47
2007,3,1422.71
2007,4,360.965
2008,1,612.777
2008,2,1120.86
2008,3,910.274
2008,4,575.716
2009,1,533.464
2009,2,1280.06
2009,3,1015.54
2009,4,125.857
2010,1,66.8165
2010,2,1708.69
2010,3,919.885
2010,4,232.038
2011,1,1326.2
2011,2,2342.55
2011,3,2051.29
2011,4,571.27
2012,1,1158.9
2012,2,2433.36
2012,3,1219.57
2012,4,26.3829
2013,1,434.466
2013,2,1837.27
2013,3,2683.15
2013,4,276.572
2014,1,1754.34
2014,2,3553.25
2014,3,3299.67
2014,4,438.975
2015,1,1470.64
2015,2,2424.78
2015,3,1880.44
2015,4,1174.23
2016,1,1351.94
2016,2,2267.34
2016,3,2253.76
2016,4,868.778
2017,1,1051.18
2017,2,2212.82
2017,3,1140.49
2017,4,206.378
2018,1,235.826
2018,2,2391.25
2018,3,1413.97
2018,4,457.768
2019,1,322.281
2019,2,1620.61
2019,3,1889.17
2019,4,981.52
2020,1,1286.49
2020,2,2314.52
2020,3,2603.31
2020,4,1113.03
2021,1,644.267
2021,2,3500.07
2021,3,2794.35
2021,4,622.914
2022,1,531.826
2022,2,2682.18
2022,3,2679.23
2022,4,721.875
2023,1,933
2023,2,3626.32
2023,3,2287.81
2023,4,622.4
