"","Scenario.Type","Val","SSB_2024","SSB_2025","SSB_2026","SSB_2026_SD","F_2024","F_2025","F_2026","Fbar_2024","Fbar_2025","Fbar_2026","Rec_2024","Rec_2025","Rec_2026","Catch_2024","Catch_2025","Catch_2026","pBlim_2026"
"1","FMult",1,506777,533917,552803,85161.1,0.0621433,0.0621433,0.0621433,0.05005553328648,0.05005553328648,0.05005553328648,3309290,3324720,3334630,25886.4,26618.3,27085,1.80571265046266e-05
"2","FMult",1.2,506777,533917,547955,84633,0.0621433,0.074572,0.074572,0.05005553328648,0.0600666721632,0.0600666721632,3309290,3324720,3332150,25886.4,31786.9,32042.7,2.07000524728601e-05
"3","FMult",1.6,506777,533917,538407,83593.1,0.0621433,0.0994293,0.0994293,0.05005553328648,0.08008886936808,0.08008886936808,3309290,3324720,3327130,25886.4,41973.6,41528.9,2.71501509925758e-05
"4","FMult",2,506777,533917,529053,82574.6,0.0621433,0.124287,0.124287,0.05005553328648,0.1001113887672,0.1001113887672,3309290,3324720,3322060,25886.4,51963.2,50466.6,3.55152078355721e-05
"5","FMult",2.293984423,506777,533917,522300,81839.3,0.0621433,0.142556,0.142556,0.05005553328648,0.1148268051936,0.1148268051936,3309290,3324720,3318290,25886.4,59181.9,56701.6,4.31874714583454e-05
"6","FMult",2.29571642675,506777,533917,522260,81835,0.0621433,0.142663,0.142663,0.05005553328648,0.1149129921528,0.1149129921528,3309290,3324720,3318270,25886.4,59224.1,56737.6,4.32381934016391e-05
"7","FMult",2.2974484305,506777,533917,522221,81830.7,0.0621433,0.142771,0.142771,0.05005553328648,0.1149999845976,0.1149999845976,3309290,3324720,3318250,25886.4,59266.3,56773.5,4.32867792298198e-05
"8","FMult",2.29918043425,506777,533917,522181,81826.4,0.0621433,0.142879,0.142879,0.05005553328648,0.1150869770424,0.1150869770424,3309290,3324720,3318220,25886.4,59308.6,56809.4,4.33376219388008e-05
"9","FMult",2.300912438,506777,533917,522142,81822.1,0.0621433,0.142986,0.142986,0.05005553328648,0.1151731640016,0.1151731640016,3309290,3324720,3318200,25886.4,59350.8,56845.3,4.3386323677296e-05
"10","FMult",2.911111111,506777,533917,508449,80331.3,0.0621433,0.180906,0.180906,0.05005553328648,0.1457171779536,0.1457171779536,3309290,3324720,3310280,25886.4,74003.7,68919.6,6.47880627235228e-05
"11","FMult",2.91458333325,506777,533917,508372,80323,0.0621433,0.181122,0.181122,0.05005553328648,0.1458911628432,0.1458911628432,3309290,3324720,3310240,25886.4,74085.8,68985.1,6.49363966740396e-05
"12","FMult",2.9180555555,506777,533917,508295,80314.6,0.0621433,0.181338,0.181338,0.05005553328648,0.1460651477328,0.1460651477328,3309290,3324720,3310190,25886.4,74167.9,69050.6,6.50838225071187e-05
"13","FMult",2.92152777775,506777,533917,508219,80306.3,0.0621433,0.181553,0.181553,0.05005553328648,0.1462383271368,0.1462383271368,3309290,3324720,3310150,25886.4,74250.1,69116.1,6.52295586303391e-05
"14","FMult",2.925,506777,533917,508142,80297.9,0.0621433,0.181769,0.181769,0.05005553328648,0.1464123120264,0.1464123120264,3309290,3324720,3310100,25886.4,74332.2,69181.5,6.5377673168957e-05
"15","FMult",3.147222222,506777,533917,503264,79766.9,0.0621433,0.195579,0.195579,0.05005553328648,0.1575360681624,0.1575360681624,3309290,3324720,3307180,25886.4,79558.1,73297.1,7.55236681363908e-05
"16","FMult",3.15069444425,506777,533917,503188,79758.6,0.0621433,0.195795,0.195795,0.05005553328648,0.157710053052,0.157710053052,3309290,3324720,3307140,25886.4,79639.3,73360.3,7.5693642949406e-05
"17","FMult",3.1541666665,506777,533917,503112,79750.4,0.0621433,0.19601,0.19601,0.05005553328648,0.157883232456,0.157883232456,3309290,3324720,3307090,25886.4,79720.5,73423.4,7.5865463490948e-05
"18","FMult",3.15763888875,506777,533917,503037,79742.1,0.0621433,0.196226,0.196226,0.05005553328648,0.1580572173456,0.1580572173456,3309290,3324720,3307040,25886.4,79801.7,73486.6,7.60323968892225e-05
"19","FMult",3.161111111,506777,533917,502961,79733.9,0.0621433,0.196442,0.196442,0.05005553328648,0.1582312022352,0.1582312022352,3309290,3324720,3307000,25886.4,79882.8,73549.7,7.62050118871747e-05
